player_code,player_name,role,team,expected_perc_selection,team_count,actual_perc_selection,perc_error,abs_error,within_5_percent,error_magnitude
1,Player_20,WK,A,0.3957,10543,0.745826259196378,0.8848275440899116,0.8848275440899116,False,FAIL
2,Player_2,WK,A,0.2131,7901,0.5589275608375778,1.6228416745076384,1.6228416745076384,False,FAIL
3,Player_7,Allrounder,B,0.9191,11364,0.8039049235993209,-0.12533464954921028,0.12533464954921028,False,FAIL
4,Player_12,Allrounder,A,0.9522,11518,0.8147990945104697,-0.14429836745382305,0.14429836745382305,False,FAIL
5,Player_10,Allrounder,A,0.2145,6073,0.42961233729485004,1.0028547193233102,1.0028547193233102,False,FAIL
6,Player_8,Allrounder,A,0.5682,8902,0.6297396717600453,0.10830635649427185,0.10830635649427185,False,FAIL
7,Player_22,Allrounder,B,0.8919,11260,0.7965478211658178,-0.1069090467924456,0.1069090467924456,False,FAIL
8,Player_11,Allrounder,B,0.2709,6389,0.45196661007357103,0.6683891106444115,0.6683891106444115,False,FAIL
9,Player_21,Batsman,A,0.6935,6409,0.45338143746462933,-0.3462416186523009,0.3462416186523009,False,FAIL
10,Player_3,Batsman,A,0.0283,2082,0.14728353140916808,4.2043650674617705,4.2043650674617705,False,FAIL
11,Player_18,Batsman,B,0.495,5625,0.3979202037351443,-0.196120800535062,0.196120800535062,False,FAIL
12,Player_4,Batsman,B,0.659,6263,0.4430531975099038,-0.32768862289847683,0.32768862289847683,False,FAIL
13,Player_9,Batsman,A,0.3618,4893,0.34613752122241087,-0.04329043332666981,0.04329043332666981,True,PASS
14,Player_14,Batsman,A,0.2536,4001,0.2830362195812111,0.11607342106155805,0.11607342106155805,False,FAIL
15,Player_17,Batsman,B,0.936,7840,0.55461233729485,-0.40746545160806624,0.40746545160806624,False,FAIL
16,Player_19,Batsman,B,0.3518,4764,0.3370118845500849,-0.04203557546877514,0.04203557546877514,True,PASS
17,Player_1,Bowler,B,0.6634,9521,0.6735285795132994,0.015267680906390375,0.015267680906390375,True,PASS
18,Player_13,Bowler,A,0.1068,3916,0.27702320316921336,1.5938502169401998,1.5938502169401998,False,FAIL
19,Player_5,Bowler,B,0.8348,11125,0.7869977362761743,-0.05726193546217738,0.05726193546217738,False,FAIL
20,Player_16,Bowler,B,0.306,5849,0.41376627051499715,0.3521773546241737,0.3521773546241737,False,FAIL
21,Player_6,Bowler,B,0.033,3465,0.2451188455008489,6.427843803056026,6.427843803056026,False,FAIL
22,Player_15,Bowler,A,0.3003,5793,0.40980475382003395,0.3646511948719079,0.3646511948719079,False,FAIL
